"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"KEGG","Chronic myeloid leukemia","KEGG:05220","0.000053266566497066014","4.273545296446553","76","76","8","7788","P46108,O15111,O14920,P62993,Q00534,Q13363,P56545,Q92934"
"KEGG","Hepatitis C","KEGG:05160","0.00019211961173617103","3.7164282997189426","155","76","10","7788","O15111,Q9Y4K3,Q66LE6,Q14653,O14920,P62993,P55957,Q00534,P01579,Q92934"
"KEGG","Influenza A","KEGG:05164","0.0003768902583682738","3.4237850877867433","167","76","10","7788","O15111,Q14653,Q9UBU9,O14920,P52292,P55957,Q00534,P52294,P01579,O15131"
"KEGG","RIG-I-like receptor signaling pathway","KEGG:04622","0.00039750979405752643","3.4006521664974767","70","76","7","7788","O15111,Q96C10,Q9Y4K3,Q92844,Q14653,O14920,Q9H6S1"
"KEGG","Pathways in cancer","KEGG:05200","0.0008153811267541278","3.0886393451789296","529","76","17","7788","P46108,O15111,P43246,P62877,Q9Y4K3,O14920,P62993,P55957,Q13794,O15217,O14641,Q00534,Q13363,O43521,P56545,P01579,Q92934"
"KEGG","Apoptosis","KEGG:04210","0.004161709603793683","2.3807282273127592","136","76","8","7788","O15111,O14920,P35638,P55957,Q03252,Q13794,O43521,Q92934"
"KEGG","Viral carcinogenesis","KEGG:05203","0.010696528725470928","1.9707571381993916","199","76","9","7788","Q05086,Q14653,Q06330,P62993,Q92830,Q13794,Q00534,P20226,Q92934"
"KEGG","Notch signaling pathway","KEGG:04330","0.013143524978923711","1.8812881451573","53","76","5","7788","Q06330,Q92830,O14641,Q13363,P56545"
"KEGG","Osteoclast differentiation","KEGG:04380","0.017241466443373033","1.7634257987676694","125","76","7","7788","O15111,Q9Y4K3,O14920,P62993,P06241,Q8NHL6,P01579"
"KEGG","Human papillomavirus infection","KEGG:05165","0.02760516021698852","1.5590097279242379","330","76","11","7788","O15111,Q05086,Q66LE6,Q14653,Q06330,O14920,P62993,O14641,Q00534,P20226,Q92934"
"KEGG","Measles","KEGG:05162","0.031668149006208325","1.499377320268204","138","76","7","7788","O15111,Q9Y4K3,Q14653,O14920,P55957,Q00534,Q92934"
"REAC","BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members","REAC:R-HSA-111453","0.0005525712559332243","3.257611710288613","9","111","4","10594","P55957,Q13794,O43521,Q92934"
"REAC","NS1 Mediated Effects on Host Pathways","REAC:R-HSA-168276","0.0009708123267278756","3.012864717923221","38","111","6","10594","P52292,Q8NFH5,O00629,O00505,P52294,O15131"
"REAC","Host Interactions with Influenza Factors","REAC:R-HSA-168253","0.001137602892620746","2.944009312317868","39","111","6","10594","P52292,Q8NFH5,O00629,O00505,P52294,O15131"
"REAC","ISG15 antiviral mechanism","REAC:R-HSA-1169408","0.003509693464891103","2.4547308129699994","71","111","7","10594","Q14653,P52292,Q8NFH5,O00629,O00505,P52294,O15131"
"REAC","Antiviral mechanism by IFN-stimulated genes","REAC:R-HSA-1169410","0.007141657301648411","2.146200993624322","79","111","7","10594","Q14653,P52292,Q8NFH5,O00629,O00505,P52294,O15131"
"REAC","Toll Like Receptor 3 (TLR3) Cascade","REAC:R-HSA-168164","0.01930303187308305","1.7143744722182794","92","111","7","10594","O15111,Q9Y4K3,Q92844,Q14653,O14920,P18846,Q13164"
"REAC","MyD88-independent TLR4 cascade ","REAC:R-HSA-166166","0.02537636195529466","1.5955706397665694","96","111","7","10594","O15111,Q9Y4K3,Q92844,Q14653,O14920,P18846,Q13164"
"REAC","TRIF(TICAM1)-mediated TLR4 signaling ","REAC:R-HSA-937061","0.02537636195529466","1.5955706397665694","96","111","7","10594","O15111,Q9Y4K3,Q92844,Q14653,O14920,P18846,Q13164"
"REAC","Cytokine Signaling in Immune system","REAC:R-HSA-1280215","0.049955356555036634","1.3014179369161196","831","111","21","10594","P46108,O15111,P62877,Q9Y4K3,Q13651,Q14653,P02675,O14920,P62993,P52292,Q8NFH5,P14859,P06241,P01857,O00629,P18846,Q13164,O00505,P52294,P01579,O15131"
"WP","Novel intracellular components of RIG-I-like receptor (RLR) pathway","WP:WP3865","0.00002693359598699606","4.569705658729228","60","73","8","6646","O15111,Q96C10,Q9Y4K3,Q92844,Q14653,O14920,Q9H6S1,P01579"
"WP","Brain-Derived Neurotrophic Factor (BDNF) signaling pathway","WP:WP2380","0.002837634979168048","2.547043471009882","144","73","9","6646","O15111,Q9Y4K3,O14920,P62993,P06241,P29966,Q13164,O43521,Q92934"
"WP","Apoptosis","WP:WP254","0.0038584002357798922","2.413592724547219","84","73","7","6646","O15111,Q14653,O14920,P55957,Q13794,O43521,Q92934"
"WP","Apoptosis Modulation and Signaling","WP:WP1772","0.006039982707654568","2.218964304753198","90","73","7","6646","Q9Y4K3,O14920,P55957,Q13794,Q13323,O43521,Q92934"
"WP","RAC1/PAK1/p38/MMP2 Pathway","WP:WP3303","0.010573813983602087","1.9757683340487202","68","73","6","6646","P46108,O15111,P43246,O14920,P62993,Q92934"
"WP","Interleukin-11 Signaling Pathway","WP:WP2332","0.012567150766483539","1.9007631747130946","44","73","5","6646","O15111,O14920,P62993,P06241,P18846"
"WP","Notch Signaling","WP:WP268","0.014018008411291782","1.8533136837606274","45","73","5","6646","Q06330,Q92830,O14641,Q13363,P56545"
"WP","Leptin signaling pathway","WP:WP2034","0.019707703546924915","1.705363979221514","76","73","6","6646","O15111,O14920,P62993,P06241,O00629,Q92934"
"WP","TLR4 Signaling and Tolerance","WP:WP3851","0.02606902501177431","1.5838752112530163","28","73","4","6646","O15111,Q9Y4K3,Q14653,O14920"
"WP","MAPK  and NFkB Signalling Pathways Inhibited by Yersinia YopJ","WP:WP3849","0.030226142049778693","1.5196172809867345","12","73","3","6646","O15111,Q9Y4K3,O14920"
"WP","Toll-like Receptor Signaling related to MyD88","WP:WP3858","0.03907682661315166","1.4080807121066958","31","73","4","6646","O15111,Q9Y4K3,Q14653,O14920"
"WP","T-Cell antigen Receptor (TCR)  Signaling Pathway","WP:WP69","0.049730061517365844","1.3033810035339926","90","73","6","6646","P46108,O15111,Q9Y4K3,O14920,P62993,P06241"
